# dataset: iban-registry
# source: iban-registry
# authority: SWIFT, ISO 13616 registration authority
# origin: IBAN Registry release 102
# pin: 102
# published: 102
# licence: published-without-stated-terms
# licence-url: https://www.swift.com/standards/data-standards/iban-international-bank-account-number
# licence-note: published openly by SWIFT, ISO 13616 registration authority and redistributed with that credit
# licence-verified: 2026-07-26
# cadence: ad hoc
# compiled-in: true
# columns: country,ibanLength,bbanStructure,bankPosition,branchPosition,sepa,example
NO	15	NO2!n4!n6!n1!n	1-4		yes	NO9386011117947
OM	23	OM2!n3!n16!c	1-3		no	OM810180000001299123456
PK	24	PK2!n4!a16!c	1-4		no	PK36SCBL0000001123456702
PL	28	PL2!n8!n16!n	1-8		yes	PL61109010140000071219812874
PS	29	PS2!n4!a21!c	1-4		no	PS92PALS000000000400123456702
PT	25	PT2!n4!n4!n11!n2!n	1-4		yes	PT50000201231234567890154
QA	29	QA2!n4!a21!c	1-4		no	QA58DOHB00001234567890ABCDEFG
RO	24	RO2!n4!a16!c	1-4		yes	RO49AAAA1B31007593840000
RS	22	RS2!n3!n13!n2!n	1-3		no	RS35260005601001611379
RU	33	RU2!n9!n5!n15!c	1-9	10-14	no	RU0304452522540817810538091310419
SA	24	SA2!n2!n18!c	1-2		no	SA0380000000608010167519
SC	31	SC2!n4!a2!n2!n16!n3!a	1-6	7-8	no	SC18SSCB11010000000000001497USD
SD	18	SD2!n2!n12!n	1-2		no	SD2129010501234001
SE	24	SE2!n3!n16!n1!n	1-3		yes	SE4550000000058398257466
SI	19	SI2!n5!n8!n2!n	1-5		yes	SI56263300012039086
SK	24	SK2!n4!n6!n10!n	1-4		yes	SK3112000000198742637541
SM	27	SM2!n1!a5!n5!n12!c	2-6	7-11	yes	SM86U0322509800000000270100
SO	23	SO2!n4!n3!n12!n	1-4	5-7	no	SO211000001001000100141
ST	25	ST2!n4!n4!n11!n2!n	1-4	5-8	no	ST23000100010051845310146
SV	28	SV2!n4!a20!n	1-4		no	SV62CENR00000000000000700025
TL	23	TL2!n3!n14!n2!n	1-3		no	TL380080012345678910157
TN	24	TN2!n2!n3!n13!n2!n	1-2	3-5	no	TN5910006035183598478831
TR	26	TR2!n5!n1!n16!c	1-5		no	TR330006100519786457841326
UA	29	UA2!n6!n19!c	1-6		no	UA213223130000026007233566001
VA	22	VA2!n3!n15!n	1-3		yes	VA59001123000012345678
VG	24	VG2!n4!a16!n	1-4		no	VG96VPVG0000012345678901
XK	20	XK2!n4!n10!n2!n	1-2	3-4	no	XK051212012345678906
YE	30	YE2!n4!a4!n18!c	1-4	5-8	no	YE15CBYE0001018861234567891234
